Category,Resume
Graphic Designer,Created layouts and assets for web and print. Familiar with Figma and Canva.
Graphic Designer,Worked on UI kits and icon sets for mobile applications.
Graphic Designer,Worked on UI kits and icon sets for mobile applications.
Graphic Designer,Created layouts and assets for web and print. Familiar with Figma and Canva.
Graphic Designer,Created layouts and assets for web and print. Familiar with Figma and Canva.
Digital Marketer,"Hands-on experience with Google Analytics, AdWords, and social media tools."
Digital Marketer,"Hands-on experience with Google Analytics, AdWords, and social media tools."
Digital Marketer,"Hands-on experience with Google Analytics, AdWords, and social media tools."
Digital Marketer,Developed email marketing and content strategies that boosted conversions.
Digital Marketer,Developed email marketing and content strategies that boosted conversions.
Digital Marketer,Developed email marketing and content strategies that boosted conversions.
Digital Marketer,"Managed SEO/SEM campaigns, analyzed web traffic, and increased engagement."
Digital Marketer,"Hands-on experience with Google Analytics, AdWords, and social media tools."
Digital Marketer,Developed email marketing and content strategies that boosted conversions.
Digital Marketer,"Managed SEO/SEM campaigns, analyzed web traffic, and increased engagement."
Digital Marketer,"Managed SEO/SEM campaigns, analyzed web traffic, and increased engagement."
Digital Marketer,"Hands-on experience with Google Analytics, AdWords, and social media tools."
Technical Writer,"Created user manuals, API documentation, and help guides for software products."
Technical Writer,"Skilled in Markdown, Confluence, and version control with Git."
Technical Writer,"Skilled in Markdown, Confluence, and version control with Git."
Technical Writer,"Skilled in Markdown, Confluence, and version control with Git."
Technical Writer,"Created user manuals, API documentation, and help guides for software products."
Technical Writer,"Skilled in Markdown, Confluence, and version control with Git."
Technical Writer,Collaborated with developers and testers to document technical processes.
Technical Writer,Collaborated with developers and testers to document technical processes.
Technical Writer,"Created user manuals, API documentation, and help guides for software products."
Technical Writer,"Created user manuals, API documentation, and help guides for software products."
Technical Writer,"Created user manuals, API documentation, and help guides for software products."
Technical Writer,"Skilled in Markdown, Confluence, and version control with Git."
Cloud Engineer,"Cloud Engineer Resume:
Skills: Azure, Terraform, GCP, Kubernetes, Docker
Experience: 2 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: Azure, Kubernetes, GCP, Terraform, Docker
Experience: 5 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: AWS, Terraform, GCP, Azure, Kubernetes
Experience: 1 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: GCP, Terraform, AWS, Docker, Azure
Experience: 3 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: Terraform, Docker, GCP, Azure, Kubernetes
Experience: 4 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: GCP, AWS, Terraform, Azure, Kubernetes
Experience: 2 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: Docker, Terraform, AWS, Kubernetes, GCP
Experience: 2 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: Terraform, AWS, Docker, GCP, Azure
Experience: 4 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: Terraform, AWS, GCP, Azure, Kubernetes
Experience: 3 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: GCP, Docker, Kubernetes, Azure, AWS
Experience: 5 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: GCP, Kubernetes, Docker, Terraform, Azure
Experience: 1 years
Education: B.Tech in relevant field"
Cloud Engineer,"Cloud Engineer Resume:
Skills: AWS, GCP, Terraform, Azure, Kubernetes
Experience: 4 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Firewalls, Nmap, SIEM, Metasploit, Penetration Testing
Experience: 5 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: SIEM, Firewalls, Penetration Testing, Metasploit, Nmap
Experience: 5 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Metasploit, Penetration Testing, SIEM, Firewalls, Nmap
Experience: 1 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: SIEM, Firewalls, Penetration Testing, Metasploit, Nmap
Experience: 4 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Firewalls, SIEM, Nmap, Metasploit, Penetration Testing
Experience: 5 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Nmap, SIEM, Firewalls, Metasploit, Penetration Testing
Experience: 1 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Penetration Testing, SIEM, Firewalls, Metasploit, Nmap
Experience: 1 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Penetration Testing, Firewalls, Nmap, SIEM, Metasploit
Experience: 1 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Nmap, SIEM, Firewalls, Penetration Testing, Metasploit
Experience: 2 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Firewalls, Metasploit, SIEM, Nmap, Penetration Testing
Experience: 3 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: SIEM, Penetration Testing, Metasploit, Nmap, Firewalls
Experience: 3 years
Education: B.Tech in relevant field"
Cybersecurity Specialist,"Cybersecurity Specialist Resume:
Skills: Firewalls, SIEM, Metasploit, Penetration Testing, Nmap
Experience: 4 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Solidity, Web3.js, Smart Contracts, Truffle, Ethereum
Experience: 1 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Smart Contracts, Ethereum, Web3.js, Solidity, Truffle
Experience: 4 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Web3.js, Truffle, Solidity, Ethereum, Smart Contracts
Experience: 1 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Solidity, Ethereum, Truffle, Web3.js, Smart Contracts
Experience: 1 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Web3.js, Solidity, Ethereum, Truffle, Smart Contracts
Experience: 3 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Web3.js, Smart Contracts, Solidity, Ethereum, Truffle
Experience: 4 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Truffle, Solidity, Ethereum, Smart Contracts, Web3.js
Experience: 2 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Ethereum, Truffle, Web3.js, Smart Contracts, Solidity
Experience: 1 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Ethereum, Smart Contracts, Truffle, Web3.js, Solidity
Experience: 1 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Solidity, Smart Contracts, Truffle, Web3.js, Ethereum
Experience: 3 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Solidity, Truffle, Web3.js, Ethereum, Smart Contracts
Experience: 4 years
Education: B.Tech in relevant field"
Blockchain Developer,"Blockchain Developer Resume:
Skills: Truffle, Smart Contracts, Ethereum, Solidity, Web3.js
Experience: 5 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: 3D Modeling, Unreal Engine, Unity, Game Physics, C#
Experience: 4 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Unity, Unreal Engine, 3D Modeling, C#, Game Physics
Experience: 4 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: C#, Unreal Engine, Game Physics, 3D Modeling, Unity
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: C#, 3D Modeling, Game Physics, Unity, Unreal Engine
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Unity, Game Physics, 3D Modeling, C#, Unreal Engine
Experience: 4 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: C#, 3D Modeling, Game Physics, Unreal Engine, Unity
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Unreal Engine, 3D Modeling, C#, Game Physics, Unity
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Game Physics, Unreal Engine, Unity, 3D Modeling, C#
Experience: 4 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Unreal Engine, Game Physics, 3D Modeling, Unity, C#
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: C#, Game Physics, 3D Modeling, Unity, Unreal Engine
Experience: 1 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: Unreal Engine, 3D Modeling, Unity, Game Physics, C#
Experience: 5 years
Education: B.Tech in relevant field"
Game Developer,"Game Developer Resume:
Skills: C#, Game Physics, Unreal Engine, 3D Modeling, Unity
Experience: 1 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Hadoop, BigQuery, Airflow, ETL, Kafka
Experience: 3 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: ETL, BigQuery, Kafka, Hadoop, Airflow
Experience: 1 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Airflow, Hadoop, ETL, Kafka, Spark
Experience: 4 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Spark, BigQuery, Airflow, ETL, Hadoop
Experience: 3 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Spark, Hadoop, ETL, BigQuery, Airflow
Experience: 3 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Spark, Kafka, Airflow, ETL, BigQuery
Experience: 1 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: ETL, Spark, Airflow, BigQuery, Hadoop
Experience: 4 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Kafka, BigQuery, ETL, Hadoop, Airflow
Experience: 1 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: ETL, Kafka, Spark, BigQuery, Hadoop
Experience: 4 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Airflow, Hadoop, ETL, Kafka, BigQuery
Experience: 3 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: BigQuery, Spark, Kafka, Hadoop, ETL
Experience: 3 years
Education: B.Tech in relevant field"
Data Engineer,"Data Engineer Resume:
Skills: Airflow, Kafka, Hadoop, BigQuery, Spark
Experience: 2 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: GAN, TensorFlow, CNN, scikit-learn, RNN
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: TensorFlow, CNN, PyTorch, scikit-learn, RNN
Experience: 3 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: RNN, CNN, GAN, TensorFlow, scikit-learn
Experience: 4 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: scikit-learn, CNN, GAN, TensorFlow, RNN
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: PyTorch, scikit-learn, TensorFlow, RNN, CNN
Experience: 1 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: CNN, scikit-learn, RNN, TensorFlow, GAN
Experience: 2 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: scikit-learn, CNN, GAN, PyTorch, RNN
Experience: 4 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: TensorFlow, scikit-learn, GAN, CNN, PyTorch
Experience: 2 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: TensorFlow, CNN, PyTorch, RNN, scikit-learn
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: RNN, scikit-learn, CNN, GAN, TensorFlow
Experience: 5 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: GAN, CNN, RNN, scikit-learn, TensorFlow
Experience: 2 years
Education: B.Tech in relevant field"
AI/ML Engineer,"AI/ML Engineer Resume:
Skills: scikit-learn, RNN, PyTorch, CNN, TensorFlow
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: PostgreSQL, Backup, Replication, Indexing, Oracle
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, Indexing, PostgreSQL, SQL, Backup
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, Indexing, Backup, PostgreSQL, Replication
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: SQL, Oracle, Backup, Indexing, PostgreSQL
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: PostgreSQL, Replication, SQL, Oracle, Backup
Experience: 1 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Replication, Oracle, SQL, PostgreSQL, Backup
Experience: 5 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, SQL, Backup, Replication, Indexing
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Oracle, PostgreSQL, Replication, Backup
Experience: 3 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: SQL, PostgreSQL, Backup, Replication, Oracle
Experience: 4 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Backup, Oracle, Replication, PostgreSQL
Experience: 2 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Oracle, PostgreSQL, Indexing, SQL, Replication
Experience: 3 years
Education: B.Tech in relevant field"
Database Administrator,"Database Administrator Resume:
Skills: Indexing, Oracle, PostgreSQL, Backup, Replication
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Agile, Stakeholder Management, Scrum, Roadmapping
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Agile, Stakeholder Management, Scrum, Roadmapping
Experience: 1 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Agile, Roadmapping, JIRA, Scrum
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Agile, JIRA, Scrum, Stakeholder Management, Roadmapping
Experience: 3 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, Scrum, Stakeholder Management, JIRA, Agile
Experience: 3 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Scrum, Roadmapping, JIRA, Agile
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, JIRA, Scrum, Stakeholder Management, Agile
Experience: 4 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Roadmapping, Scrum, JIRA, Stakeholder Management, Agile
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Scrum, Agile, JIRA, Stakeholder Management, Roadmapping
Experience: 5 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Agile, Scrum, Roadmapping, JIRA, Stakeholder Management
Experience: 2 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: JIRA, Stakeholder Management, Roadmapping, Scrum, Agile
Experience: 1 years
Education: B.Tech in relevant field"
Product Manager,"Product Manager Resume:
Skills: Stakeholder Management, Scrum, Agile, Roadmapping, JIRA
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Troubleshooting, Ticketing, Remote Support
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Remote Support, Helpdesk, Ticketing
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Ticketing, Remote Support, Helpdesk
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Helpdesk, Troubleshooting, Remote Support
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Helpdesk, Ticketing, Remote Support
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Remote Support, Helpdesk, Troubleshooting
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Ticketing, Troubleshooting, Helpdesk, Remote Support
Experience: 2 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Ticketing, Remote Support, Troubleshooting
Experience: 4 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Ticketing, Remote Support, Helpdesk
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Remote Support, Ticketing, Troubleshooting
Experience: 3 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Helpdesk, Ticketing, Remote Support, Troubleshooting
Experience: 5 years
Education: B.Tech in relevant field"
IT Support Specialist,"IT Support Specialist Resume:
Skills: Troubleshooting, Helpdesk, Ticketing, Remote Support
Experience: 2 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Cisco, Switching, OSPF, LAN/WAN
Experience: 3 years
Education: B.Tech in relevant field"
Network Engineer,"Network Engineer Resume:
Skills: BGP, Switching, OSPF, Routing, Cisco
Experience: 1 years
Education: B.Tech in relevant field"
